,county_fips_code,mask_never,mask_rarely,mask_sometimes,mask_frequently,mask_always,mask_at_times
43,1087,0.008,0.033,0.241,0.172,0.545,0.213
44,1089,0.062,0.05,0.123,0.177,0.589,0.289
45,1091,0.033,0.151,0.118,0.186,0.512,0.37
46,1093,0.129,0.064,0.246,0.207,0.353,0.4
47,1095,0.075,0.064,0.129,0.253,0.479,0.392
48,1097,0.077,0.07,0.102,0.244,0.506,0.391
49,1099,0.112,0.041,0.182,0.288,0.378,0.441
50,1101,0.056,0.095,0.123,0.212,0.513,0.363
51,1103,0.078,0.077,0.082,0.304,0.459,0.459
52,1105,0.025,0.084,0.087,0.187,0.618,0.296
53,1107,0.031,0.06,0.169,0.157,0.584,0.248
54,1109,0.06,0.131,0.145,0.333,0.33,0.524
55,1111,0.158,0.226,0.105,0.144,0.368,0.528
56,1113,0.069,0.067,0.08,0.213,0.57,0.349
57,1115,0.027,0.134,0.144,0.2,0.495,0.361
58,1117,0.022,0.075,0.118,0.24,0.545,0.337
59,1119,0.055,0.068,0.118,0.197,0.562,0.32
60,1121,0.113,0.15,0.208,0.169,0.361,0.432
61,1123,0.067,0.095,0.136,0.296,0.406,0.458
62,1125,0.041,0.036,0.144,0.247,0.532,0.324
63,1127,0.09,0.081,0.145,0.256,0.429,0.427
64,1129,0.018,0.077,0.102,0.307,0.495,0.402
65,1131,0.061,0.098,0.199,0.187,0.455,0.346
66,1133,0.13,0.046,0.328,0.183,0.312,0.359
67,2013,0.067,0.032,0.034,0.316,0.551,0.415
68,2016,0.078,0.031,0.03,0.337,0.524,0.446
69,2020,0.042,0.05,0.049,0.196,0.663,0.288
70,2050,0.101,0.022,0.014,0.45,0.413,0.569
71,2060,0.048,0.037,0.042,0.308,0.564,0.393
72,2068,0.062,0.081,0.067,0.225,0.565,0.368
73,2070,0.072,0.025,0.027,0.391,0.484,0.488
74,2090,0.094,0.084,0.175,0.234,0.413,0.412
75,2100,0.055,0.05,0.123,0.419,0.352,0.524
76,2105,0.051,0.064,0.13,0.399,0.356,0.514
77,2110,0.051,0.067,0.133,0.396,0.353,0.514
78,2122,0.043,0.047,0.051,0.197,0.662,0.287
79,2130,0.025,0.149,0.174,0.256,0.396,0.43
80,2150,0.042,0.043,0.049,0.233,0.633,0.318
81,2158,0.103,0.022,0.007,0.521,0.347,0.569
82,2164,0.055,0.036,0.04,0.299,0.571,0.39
83,2170,0.042,0.051,0.048,0.198,0.66,0.291
84,2180,0.086,0.061,0.009,0.544,0.3,0.569
85,2185,0.036,0.059,0.235,0.215,0.455,0.31
86,2188,0.035,0.188,0.051,0.474,0.252,0.569
87,2195,0.042,0.095,0.148,0.349,0.365,0.486
88,2198,0.033,0.125,0.161,0.3,0.38,0.458
89,2220,0.048,0.077,0.137,0.381,0.357,0.506
90,2230,0.058,0.038,0.116,0.435,0.354,0.531
91,2240,0.064,0.071,0.14,0.272,0.453,0.407
92,2261,0.04,0.049,0.052,0.197,0.663,0.286
93,2275,0.035,0.119,0.16,0.312,0.374,0.466
94,2282,0.047,0.012,0.078,0.381,0.481,0.44
95,2290,0.044,0.047,0.126,0.425,0.358,0.516
96,4001,0.055,0.063,0.031,0.15,0.701,0.268
97,4003,0.053,0.025,0.147,0.194,0.581,0.272
98,4005,0.039,0.08,0.07,0.11,0.702,0.229
99,4007,0.073,0.014,0.03,0.336,0.547,0.423
100,4009,0.095,0.067,0.237,0.049,0.553,0.211
101,4011,0.111,0.089,0.167,0.089,0.544,0.289
102,4012,0.031,0.064,0.162,0.173,0.57,0.268
103,4013,0.023,0.025,0.059,0.158,0.734,0.206
104,4015,0.051,0.096,0.104,0.164,0.585,0.311
105,4017,0.091,0.108,0.059,0.139,0.602,0.338
106,4019,0.023,0.024,0.073,0.121,0.759,0.168
107,4021,0.033,0.055,0.096,0.148,0.667,0.236
108,4023,0.028,0.002,0.058,0.074,0.837,0.104
109,4025,0.031,0.073,0.081,0.176,0.639,0.28
110,4027,0.008,0.013,0.046,0.129,0.804,0.15
111,5001,0.019,0.073,0.134,0.216,0.557,0.308
112,5003,0.023,0.103,0.163,0.117,0.595,0.243
113,5005,0.15,0.104,0.108,0.104,0.534,0.358
114,5007,0.081,0.034,0.083,0.16,0.643,0.275
115,5009,0.129,0.145,0.122,0.189,0.416,0.463
116,5011,0.094,0.102,0.175,0.184,0.445,0.38
117,5013,0.145,0.132,0.108,0.211,0.404,0.488
118,5015,0.111,0.068,0.115,0.129,0.577,0.308
119,5017,0.104,0.074,0.193,0.097,0.531,0.275
120,5019,0.08,0.091,0.08,0.231,0.518,0.402
121,5021,0.082,0.124,0.157,0.242,0.395,0.448
122,5023,0.036,0.065,0.093,0.259,0.546,0.36
123,5025,0.107,0.03,0.16,0.231,0.472,0.368
124,5027,0.241,0.072,0.054,0.25,0.383,0.563
125,5029,0.071,0.12,0.137,0.347,0.325,0.538
126,5031,0.078,0.123,0.138,0.341,0.32,0.542
127,5033,0.155,0.1,0.167,0.211,0.367,0.466
128,5035,0.059,0.017,0.11,0.306,0.508,0.382
129,5037,0.097,0.017,0.163,0.319,0.404,0.433
130,5039,0.197,0.055,0.093,0.196,0.459,0.448
131,5041,0.078,0.033,0.19,0.189,0.509,0.3
132,5043,0.063,0.049,0.207,0.159,0.523,0.271
133,5045,0.066,0.027,0.077,0.403,0.426,0.496
134,5047,0.149,0.079,0.245,0.187,0.34,0.415
135,5049,0.105,0.121,0.226,0.197,0.351,0.423
136,5051,0.025,0.102,0.068,0.21,0.596,0.337
137,5053,0.082,0.043,0.127,0.258,0.489,0.383
138,5055,0.062,0.141,0.154,0.346,0.297,0.549
139,5057,0.098,0.073,0.096,0.179,0.554,0.35
140,5059,0.059,0.086,0.079,0.216,0.56,0.361
141,5061,0.081,0.07,0.145,0.145,0.56,0.296
142,5063,0.137,0.156,0.088,0.179,0.44,0.472
143,5065,0.086,0.121,0.133,0.23,0.43,0.437
144,5067,0.116,0.103,0.135,0.179,0.468,0.398
145,5069,0.042,0.036,0.172,0.173,0.577,0.251
146,5071,0.144,0.103,0.205,0.221,0.328,0.468
147,5073,0.12,0.082,0.078,0.234,0.486,0.436
148,5075,0.085,0.128,0.153,0.298,0.337,0.511
149,5077,0.103,0.032,0.195,0.263,0.407,0.398
150,5079,0.035,0.016,0.194,0.201,0.554,0.252
151,5081,0.074,0.121,0.106,0.201,0.499,0.396
152,5083,0.148,0.11,0.12,0.143,0.479,0.401
153,5085,0.048,0.045,0.136,0.297,0.474,0.39
154,5087,0.075,0.088,0.159,0.114,0.564,0.277
155,5089,0.171,0.112,0.119,0.108,0.49,0.391
156,5091,0.064,0.124,0.106,0.219,0.487,0.407
157,5093,0.033,0.109,0.134,0.284,0.44,0.426
158,5095,0.068,0.128,0.127,0.271,0.406,0.467
159,5097,0.081,0.095,0.136,0.166,0.521,0.342
160,5099,0.143,0.048,0.084,0.224,0.501,0.415
161,5101,0.107,0.14,0.084,0.261,0.408,0.508
162,5103,0.151,0.097,0.06,0.242,0.449,0.49
163,5105,0.098,0.051,0.08,0.367,0.404,0.516
164,5107,0.052,0.061,0.134,0.276,0.477,0.389
165,5109,0.064,0.061,0.2,0.176,0.501,0.301
166,5111,0.077,0.098,0.141,0.287,0.397,0.462
167,5113,0.18,0.08,0.217,0.076,0.446,0.336
168,5115,0.082,0.151,0.181,0.285,0.302,0.518
169,5117,0.062,0.17,0.103,0.273,0.391,0.505
170,5119,0.028,0.027,0.126,0.175,0.644,0.23
171,5121,0.051,0.145,0.203,0.289,0.311,0.485
172,5123,0.087,0.007,0.289,0.267,0.35,0.361
173,5125,0.066,0.044,0.154,0.212,0.524,0.322
174,5127,0.155,0.14,0.124,0.123,0.458,0.418
175,5129,0.1,0.088,0.125,0.149,0.538,0.337
176,5131,0.121,0.142,0.157,0.208,0.372,0.471
177,5133,0.12,0.093,0.155,0.165,0.467,0.378
178,5135,0.067,0.158,0.22,0.222,0.333,0.447
179,5137,0.067,0.092,0.11,0.234,0.498,0.393
180,5139,0.116,0.179,0.098,0.262,0.344,0.557
181,5141,0.033,0.06,0.096,0.272,0.539,0.365
182,5143,0.034,0.028,0.101,0.186,0.651,0.248
183,5145,0.026,0.054,0.152,0.277,0.491,0.357
184,5147,0.059,0.048,0.208,0.231,0.454,0.338
185,5149,0.116,0.1,0.112,0.198,0.474,0.414
186,6001,0.019,0.008,0.055,0.123,0.795,0.15
187,6003,0.025,0.085,0.088,0.19,0.612,0.3
188,6005,0.045,0.013,0.099,0.188,0.655,0.246
189,6007,0.015,0.043,0.111,0.204,0.626,0.262
190,6009,0.045,0.019,0.098,0.276,0.562,0.34
191,6011,0.027,0.031,0.092,0.151,0.7,0.209
192,6013,0.018,0.016,0.039,0.121,0.806,0.155
193,6015,0.01,0.135,0.112,0.196,0.547,0.341
194,6017,0.028,0.042,0.072,0.183,0.675,0.253
195,6019,0.021,0.022,0.059,0.156,0.741,0.199
196,6021,0.028,0.026,0.146,0.206,0.594,0.26
197,6023,0.042,0.006,0.018,0.069,0.865,0.117
198,6025,0.001,0.005,0.03,0.128,0.836,0.134
199,6027,0.033,0.011,0.008,0.058,0.889,0.102
200,6029,0.022,0.028,0.105,0.177,0.668,0.227
201,6031,0.075,0.016,0.049,0.094,0.766,0.185
202,6033,0.003,0.004,0.007,0.136,0.849,0.143
203,6035,0.064,0.068,0.162,0.225,0.482,0.357
204,6037,0.021,0.013,0.049,0.131,0.786,0.165
205,6039,0.019,0.059,0.048,0.124,0.751,0.202
206,6041,0.011,0.0,0.046,0.141,0.802,0.152
207,6043,0.01,0.094,0.049,0.186,0.661,0.29
208,6045,0.002,0.003,0.004,0.222,0.77,0.227
209,6047,0.026,0.036,0.089,0.146,0.703,0.208
210,6049,0.068,0.019,0.095,0.204,0.615,0.291
211,6051,0.011,0.026,0.012,0.07,0.88,0.107
212,6053,0.023,0.006,0.066,0.141,0.763,0.17
213,6055,0.017,0.026,0.033,0.149,0.773,0.192
214,6057,0.003,0.054,0.084,0.177,0.682,0.234
215,6059,0.023,0.021,0.046,0.156,0.754,0.2
216,6061,0.012,0.023,0.072,0.201,0.693,0.236
217,6063,0.063,0.067,0.053,0.146,0.671,0.276
218,6065,0.026,0.014,0.041,0.116,0.803,0.156
219,6067,0.025,0.028,0.062,0.164,0.722,0.217
220,6069,0.018,0.004,0.063,0.175,0.739,0.197
221,6071,0.027,0.022,0.048,0.134,0.768,0.183
222,6073,0.017,0.023,0.034,0.126,0.8,0.166
223,6075,0.017,0.011,0.035,0.121,0.817,0.149
224,6077,0.054,0.019,0.081,0.165,0.68,0.238
225,6079,0.025,0.024,0.037,0.169,0.745,0.218
226,6081,0.016,0.013,0.058,0.126,0.786,0.155
227,6083,0.015,0.02,0.075,0.153,0.737,0.188
228,6085,0.015,0.014,0.04,0.168,0.764,0.197
229,6087,0.008,0.0,0.086,0.109,0.797,0.117
230,6089,0.095,0.056,0.071,0.232,0.547,0.383
231,6091,0.14,0.053,0.047,0.143,0.617,0.336
232,6093,0.132,0.074,0.082,0.167,0.546,0.373
233,6095,0.043,0.046,0.035,0.148,0.728,0.237
234,6097,0.022,0.012,0.022,0.149,0.795,0.183
235,6099,0.032,0.028,0.062,0.173,0.705,0.233
236,6101,0.058,0.031,0.08,0.163,0.669,0.252
237,6103,0.057,0.062,0.141,0.195,0.545,0.314
238,6105,0.081,0.07,0.055,0.201,0.592,0.352
239,6107,0.025,0.039,0.115,0.136,0.685,0.2
240,6109,0.008,0.043,0.084,0.212,0.653,0.263
241,6111,0.024,0.011,0.033,0.156,0.777,0.191
242,6113,0.007,0.005,0.04,0.156,0.791,0.168
243,6115,0.057,0.035,0.071,0.167,0.669,0.259
244,8001,0.032,0.027,0.071,0.185,0.685,0.244
245,8003,0.052,0.133,0.094,0.228,0.493,0.413
246,8005,0.013,0.026,0.065,0.193,0.703,0.232
247,8007,0.041,0.041,0.155,0.276,0.488,0.358
248,8009,0.113,0.053,0.194,0.206,0.435,0.372
249,8011,0.033,0.036,0.172,0.191,0.567,0.26
250,8013,0.008,0.015,0.032,0.195,0.75,0.218
251,8014,0.018,0.005,0.042,0.201,0.734,0.224
252,8015,0.038,0.045,0.134,0.138,0.645,0.221
253,8017,0.016,0.187,0.106,0.398,0.292,0.569
254,8019,0.002,0.015,0.138,0.123,0.723,0.14
255,8021,0.06,0.106,0.093,0.195,0.545,0.361
256,8023,0.034,0.072,0.076,0.175,0.644,0.281
257,8025,0.002,0.034,0.08,0.294,0.59,0.33
258,8027,0.017,0.098,0.153,0.234,0.498,0.349
259,8029,0.087,0.094,0.074,0.295,0.45,0.476
260,8031,0.02,0.018,0.062,0.194,0.707,0.232
261,8033,0.052,0.039,0.066,0.252,0.591,0.343
262,8035,0.013,0.041,0.081,0.192,0.673,0.246
263,8037,0.008,0.003,0.033,0.269,0.687,0.28
264,8039,0.016,0.044,0.19,0.246,0.505,0.306
265,8041,0.031,0.089,0.081,0.196,0.603,0.316
266,8043,0.006,0.069,0.062,0.2,0.663,0.275
267,8045,0.065,0.04,0.037,0.326,0.532,0.431
268,8047,0.001,0.027,0.017,0.17,0.785,0.198
269,8049,0.006,0.002,0.05,0.187,0.754,0.195
270,8051,0.057,0.039,0.043,0.281,0.581,0.377
271,8053,0.043,0.05,0.117,0.271,0.519,0.364
272,8055,0.028,0.051,0.051,0.275,0.595,0.354
273,8057,0.021,0.027,0.09,0.342,0.52,0.39
274,8059,0.028,0.031,0.075,0.194,0.673,0.253
275,8061,0.028,0.051,0.159,0.27,0.492,0.349
276,8063,0.024,0.323,0.119,0.344,0.19,0.569
277,8065,0.002,0.016,0.036,0.193,0.753,0.211
278,8067,0.043,0.02,0.122,0.274,0.541,0.337
279,8069,0.013,0.037,0.06,0.231,0.659,0.281
280,8071,0.052,0.03,0.101,0.17,0.648,0.252
281,8073,0.013,0.068,0.196,0.403,0.321,0.484
282,8075,0.078,0.202,0.101,0.368,0.251,0.569
283,8077,0.075,0.105,0.098,0.222,0.499,0.402
284,8079,0.049,0.072,0.138,0.264,0.478,0.385
285,8081,0.041,0.142,0.162,0.284,0.371,0.467
286,8083,0.057,0.019,0.081,0.257,0.586,0.333
287,8085,0.085,0.092,0.074,0.314,0.436,0.491
288,8087,0.083,0.161,0.116,0.245,0.396,0.489
289,8089,0.004,0.047,0.102,0.194,0.653,0.245
290,8091,0.06,0.08,0.069,0.295,0.495,0.435
291,8093,0.021,0.018,0.103,0.137,0.722,0.176
292,8095,0.05,0.19,0.137,0.255,0.368,0.495
293,8097,0.019,0.014,0.016,0.318,0.633,0.351
294,8099,0.079,0.046,0.205,0.201,0.469,0.326
295,8101,0.018,0.044,0.074,0.28,0.584,0.342
296,8103,0.111,0.092,0.074,0.265,0.458,0.468
297,8105,0.061,0.144,0.11,0.242,0.444,0.447
298,8107,0.008,0.036,0.092,0.375,0.489,0.419
299,8109,0.065,0.122,0.138,0.232,0.443,0.419
300,8111,0.032,0.038,0.097,0.27,0.563,0.34
301,8113,0.043,0.058,0.074,0.26,0.565,0.361
302,8115,0.065,0.162,0.138,0.267,0.368,0.494
303,8117,0.0,0.001,0.064,0.151,0.784,0.152
304,8119,0.105,0.087,0.066,0.145,0.597,0.337
305,8121,0.077,0.208,0.101,0.303,0.31,0.569
306,8123,0.046,0.038,0.135,0.231,0.55,0.315
307,8125,0.038,0.284,0.133,0.255,0.29,0.569
308,9001,0.027,0.019,0.06,0.114,0.78,0.16
309,9003,0.015,0.023,0.065,0.13,0.767,0.168
310,9005,0.017,0.051,0.021,0.098,0.812,0.166
311,9007,0.003,0.007,0.055,0.128,0.807,0.138
312,9009,0.023,0.014,0.053,0.115,0.795,0.152
313,9011,0.025,0.021,0.066,0.142,0.747,0.188
314,9013,0.008,0.008,0.027,0.147,0.81,0.163
315,9015,0.022,0.041,0.082,0.137,0.718,0.2
316,10001,0.026,0.006,0.106,0.051,0.811,0.083
317,10003,0.027,0.013,0.041,0.133,0.786,0.173
318,10005,0.005,0.001,0.035,0.103,0.856,0.109
319,11001,0.012,0.013,0.069,0.164,0.743,0.189
320,12001,0.001,0.024,0.053,0.17,0.751,0.195
321,12003,0.087,0.076,0.18,0.215,0.442,0.378
322,12005,0.065,0.109,0.076,0.202,0.548,0.376
323,12007,0.106,0.168,0.172,0.173,0.381,0.447
324,12009,0.068,0.073,0.096,0.157,0.607,0.298
325,12011,0.026,0.023,0.043,0.117,0.791,0.166
326,12013,0.034,0.055,0.138,0.267,0.507,0.356
327,12015,0.051,0.049,0.101,0.158,0.64,0.258
328,12017,0.09,0.036,0.087,0.178,0.609,0.304
329,12019,0.055,0.067,0.15,0.209,0.52,0.331
330,12021,0.04,0.023,0.067,0.212,0.658,0.275
331,12023,0.047,0.026,0.288,0.254,0.385,0.327
332,12027,0.023,0.064,0.056,0.142,0.715,0.229
333,12029,0.071,0.095,0.119,0.318,0.397,0.484
334,12031,0.049,0.042,0.086,0.194,0.629,0.285
335,12033,0.019,0.052,0.095,0.31,0.524,0.381
336,12035,0.079,0.05,0.113,0.157,0.602,0.286
337,12037,0.022,0.101,0.237,0.228,0.412,0.351
338,12039,0.06,0.033,0.104,0.227,0.575,0.32
339,12041,0.016,0.151,0.069,0.324,0.44,0.491
340,12043,0.047,0.082,0.098,0.096,0.677,0.225
341,12045,0.046,0.125,0.12,0.249,0.46,0.42
342,12047,0.101,0.071,0.235,0.227,0.365,0.399
343,12049,0.114,0.041,0.179,0.186,0.48,0.341
344,12051,0.046,0.042,0.112,0.15,0.65,0.238
345,12053,0.09,0.04,0.091,0.19,0.589,0.32
346,12055,0.025,0.056,0.145,0.138,0.635,0.219
347,12057,0.023,0.031,0.069,0.155,0.722,0.209
348,12059,0.17,0.077,0.081,0.111,0.562,0.358
349,12061,0.054,0.065,0.082,0.193,0.607,0.312
350,12063,0.064,0.108,0.129,0.174,0.526,0.346
351,12065,0.019,0.017,0.099,0.183,0.682,0.219
352,12067,0.102,0.081,0.22,0.208,0.389,0.391
353,12069,0.047,0.062,0.074,0.185,0.632,0.294
354,12071,0.052,0.05,0.073,0.176,0.648,0.278
355,12073,0.051,0.022,0.071,0.156,0.7,0.229
356,12075,0.017,0.132,0.072,0.187,0.592,0.336
357,12077,0.022,0.023,0.205,0.268,0.482,0.313
358,12079,0.164,0.085,0.148,0.264,0.34,0.513
359,12081,0.074,0.037,0.062,0.201,0.626,0.312
360,12083,0.046,0.087,0.121,0.203,0.543,0.336
361,12085,0.027,0.018,0.066,0.169,0.719,0.214
362,12086,0.032,0.023,0.06,0.128,0.756,0.183
363,12087,0.007,0.001,0.014,0.159,0.819,0.167
364,12089,0.09,0.07,0.147,0.223,0.47,0.383
365,12091,0.091,0.083,0.147,0.21,0.469,0.384
366,12093,0.016,0.034,0.064,0.171,0.715,0.221
367,12095,0.02,0.02,0.072,0.164,0.724,0.204
368,12097,0.025,0.022,0.058,0.176,0.72,0.223
369,12099,0.03,0.02,0.05,0.116,0.784,0.166
370,12101,0.027,0.029,0.055,0.179,0.709,0.235
371,12103,0.025,0.019,0.074,0.133,0.75,0.177
372,12105,0.05,0.063,0.085,0.172,0.63,0.285
373,12107,0.068,0.05,0.114,0.186,0.581,0.304
374,12109,0.047,0.071,0.097,0.223,0.561,0.341
375,12111,0.077,0.022,0.08,0.173,0.648,0.272
376,12113,0.047,0.068,0.166,0.265,0.453,0.38
377,12115,0.017,0.031,0.073,0.175,0.704,0.223
378,12117,0.037,0.039,0.066,0.141,0.717,0.217
379,12119,0.037,0.036,0.064,0.235,0.628,0.308
380,12121,0.105,0.055,0.244,0.227,0.369,0.387
381,12123,0.103,0.086,0.19,0.145,0.476,0.334
382,12125,0.044,0.04,0.176,0.267,0.473,0.351
383,12127,0.035,0.066,0.089,0.192,0.618,0.293
384,12129,0.032,0.092,0.172,0.275,0.429,0.399
385,12131,0.092,0.06,0.092,0.244,0.512,0.396
386,12133,0.138,0.085,0.062,0.158,0.557,0.381
387,13001,0.085,0.117,0.23,0.152,0.416,0.354
388,13003,0.059,0.1,0.179,0.217,0.445,0.376
389,13005,0.071,0.132,0.187,0.188,0.421,0.391
390,13007,0.027,0.048,0.054,0.127,0.743,0.202
391,13009,0.02,0.089,0.107,0.29,0.494,0.399
392,13011,0.136,0.103,0.125,0.238,0.399,0.477
393,13013,0.063,0.086,0.092,0.19,0.568,0.339
394,13015,0.215,0.05,0.123,0.143,0.47,0.408
395,13017,0.129,0.078,0.109,0.202,0.483,0.409
396,13019,0.073,0.098,0.156,0.214,0.46,0.385
397,13021,0.043,0.094,0.176,0.201,0.487,0.338
398,13023,0.089,0.031,0.117,0.256,0.508,0.376
399,13025,0.047,0.129,0.15,0.164,0.51,0.34
400,13027,0.092,0.165,0.124,0.235,0.385,0.492
401,13029,0.033,0.039,0.095,0.238,0.595,0.31
402,13031,0.053,0.049,0.163,0.31,0.424,0.412
403,13033,0.105,0.109,0.087,0.208,0.492,0.422
404,13035,0.125,0.037,0.144,0.163,0.53,0.325
405,13037,0.013,0.035,0.043,0.172,0.737,0.22
406,13039,0.136,0.125,0.17,0.113,0.456,0.374
407,13043,0.037,0.045,0.177,0.264,0.477,0.346
408,13045,0.089,0.133,0.154,0.168,0.457,0.39
409,13047,0.143,0.152,0.114,0.217,0.375,0.512
410,13049,0.065,0.094,0.15,0.196,0.495,0.355
411,13051,0.035,0.04,0.144,0.158,0.624,0.233
412,13053,0.061,0.072,0.108,0.214,0.545,0.347
413,13055,0.116,0.102,0.187,0.143,0.451,0.361
414,13057,0.049,0.054,0.1,0.213,0.584,0.316
415,13059,0.054,0.057,0.06,0.226,0.603,0.337
416,13061,0.028,0.066,0.12,0.223,0.562,0.317
417,13063,0.038,0.054,0.125,0.159,0.624,0.251
418,13065,0.06,0.058,0.134,0.168,0.58,0.286
419,13067,0.039,0.049,0.116,0.225,0.572,0.313
420,13069,0.085,0.124,0.164,0.222,0.404,0.431
421,13071,0.108,0.191,0.074,0.233,0.394,0.532
422,13073,0.061,0.064,0.095,0.234,0.547,0.359
423,13075,0.098,0.134,0.123,0.203,0.441,0.435
424,13077,0.105,0.053,0.183,0.204,0.455,0.362
425,13079,0.057,0.051,0.231,0.192,0.468,0.3
426,13081,0.119,0.023,0.06,0.163,0.635,0.305
427,13083,0.128,0.222,0.13,0.249,0.27,0.569
428,13085,0.049,0.09,0.128,0.162,0.571,0.301
429,13087,0.093,0.04,0.171,0.18,0.516,0.313
430,13089,0.036,0.028,0.075,0.156,0.704,0.22
431,13091,0.145,0.025,0.15,0.236,0.443,0.406
432,13093,0.077,0.034,0.058,0.204,0.627,0.315
433,13095,0.033,0.037,0.045,0.159,0.726,0.229
434,13097,0.083,0.037,0.09,0.198,0.591,0.318
435,13099,0.045,0.062,0.156,0.253,0.485,0.36
436,13101,0.097,0.073,0.182,0.202,0.446,0.372
437,13103,0.044,0.064,0.145,0.272,0.475,0.38
438,13105,0.132,0.177,0.081,0.107,0.503,0.416
439,13107,0.062,0.044,0.142,0.252,0.5,0.358
440,13109,0.03,0.078,0.229,0.29,0.372,0.398
441,13111,0.075,0.088,0.125,0.112,0.6,0.275
442,13113,0.06,0.086,0.131,0.218,0.505,0.364
443,13115,0.186,0.036,0.234,0.148,0.395,0.37
444,13117,0.035,0.048,0.083,0.193,0.641,0.276
445,13119,0.168,0.074,0.117,0.215,0.425,0.457
446,13121,0.026,0.036,0.089,0.187,0.662,0.249
447,13123,0.128,0.042,0.087,0.198,0.545,0.368
448,13125,0.156,0.066,0.107,0.13,0.541,0.352
449,13127,0.048,0.071,0.145,0.251,0.485,0.37
450,13129,0.172,0.1,0.201,0.157,0.369,0.429
451,13131,0.063,0.139,0.116,0.264,0.417,0.466
452,13133,0.062,0.046,0.057,0.176,0.658,0.284
453,13135,0.036,0.054,0.081,0.19,0.639,0.28
454,13137,0.063,0.1,0.116,0.292,0.43,0.455
455,13139,0.061,0.069,0.128,0.198,0.545,0.328
456,13141,0.043,0.111,0.102,0.168,0.575,0.322
457,13143,0.184,0.123,0.165,0.184,0.345,0.491
458,13145,0.093,0.081,0.061,0.213,0.551,0.387
459,13147,0.092,0.061,0.14,0.207,0.5,0.36
460,13149,0.126,0.094,0.166,0.144,0.471,0.364
461,13151,0.103,0.048,0.091,0.181,0.578,0.332
462,13153,0.032,0.079,0.136,0.172,0.581,0.283
463,13155,0.098,0.091,0.126,0.224,0.46,0.413
464,13157,0.125,0.085,0.117,0.24,0.434,0.45
465,13159,0.082,0.059,0.181,0.118,0.56,0.259
466,13161,0.124,0.138,0.165,0.183,0.39,0.445
467,13163,0.251,0.055,0.099,0.102,0.493,0.408
468,13165,0.114,0.053,0.084,0.261,0.488,0.428
469,13167,0.119,0.053,0.109,0.251,0.468,0.423
470,13169,0.049,0.087,0.226,0.209,0.43,0.345
471,13171,0.07,0.06,0.171,0.293,0.406,0.423
472,13173,0.102,0.07,0.145,0.181,0.502,0.353
473,13175,0.122,0.056,0.141,0.291,0.391,0.469
474,13177,0.035,0.033,0.039,0.162,0.732,0.23
475,13179,0.007,0.099,0.066,0.215,0.614,0.321
476,13181,0.073,0.104,0.111,0.233,0.479,0.41
477,13183,0.014,0.119,0.086,0.159,0.621,0.292
478,13185,0.108,0.101,0.149,0.208,0.435,0.417
